"trait","h2","stage","n","est","se","ci.lb","ci.ub"
"nutrient content","broad","larvae",2,-0.216975618285354,0.175070947108104,-0.564311391068776,0.130360154498067
"bleaching","broad","larvae",2,-0.590585748511285,0.229931585274007,-1.04676346490388,-0.134408032118686
"morphology","broad","larvae",1,-0.101337808453239,0.217922715657559,-0.533690269557143,0.331014652650665
"survival","broad","larvae",2,-0.0157691302295652,0.130840178526043,-0.275352317903772,0.243814057444641
"growth","broad","juvenile",2,-1.10746033635852,0.135519988437433,-1.37632813360903,-0.838592539108015
"morphology","broad","juvenile",1,-0.411996027073934,0.212016052431819,-0.832629836568458,0.00863778242059027
"survival","broad","juvenile",1,0.14626885328739,0.141382090808804,-0.134229188106588,0.426766894681369
"gene expression","broad","adult",8,-0.933811236283873,0.153089879859251,-1.23753719769882,-0.630085274868926
"growth","broad","adult",15,-0.494286128601757,0.0715089614620376,-0.636157871461638,-0.352414385741876
"nutrient content","broad","adult",5,-1.03649188820514,0.117660805674746,-1.26992757551038,-0.803056200899914
"bleaching","broad","adult",2,-0.0928555438394917,0.138811497252332,-0.368253600831728,0.182542513152745
"symbiont community","broad","adult",1,-0.072570692834834,0.193564066023366,-0.456596286834804,0.311454901165136
"morphology","broad","adult",2,-0.397515845602289,0.240513933879937,-0.874688640228141,0.0796569490235629
"survival","broad","adult",6,-0.349881699063686,0.106108180695206,-0.560397307445325,-0.139366090682047
"gene expression","narrow","larvae",1,-0.544727175441713,0.519273669142106,-1.57495134533887,0.485496994455447
"symbiont community","narrow","larvae",2,-0.36521150880062,0.21206628534217,-0.785944978958575,0.0555219613573344
"survival","narrow","larvae",3,-0.287371994727421,0.13601823172587,-0.557228292471485,-0.0175156969833583
"growth","narrow","juvenile",6,-1.37906320085639,0.133348192174657,-1.64362221617751,-1.11450418553526
"bleaching","narrow","juvenile",3,-1.36968263106657,0.175737112688891,-1.71834005738889,-1.02102520474425
"symbiont community","narrow","juvenile",1,-0.713349887877477,0.630382881944465,-1.96401157142009,0.537311795665136
"morphology","narrow","juvenile",1,-0.683598891571816,0.196948490360331,-1.07433908706292,-0.292858696080709
"survival","narrow","juvenile",3,-0.125334011210483,0.135165347301592,-0.393498210548185,0.142830188127219
"bleaching","narrow","adult",2,-0.364458408337367,0.163297121617115,-0.688435246682599,-0.0404815699921343
"morphology","narrow","adult",2,-0.669118710100165,0.24885721251179,-1.16284433190272,-0.175393088297611
